respondent_id,column,question_short,text
5,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Consensus
9,11,"Amikor AI-t használsz, hogyan használod a leggyakrabban? (Je",Tanulás pl matematika feladatnál ha megakadok
18,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Valamilyen anonim AI
19,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",terapeutát keresni
20,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Sokkal egyszerűbb arra kérni hogy szakirodalom alapján válaszoljon, mint végigtúrni könyveket stb"
24,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Egyszer használtam, arra, hogy egy többféle érzelemmel terhelt, hirtelen történt eseményt érthető listává alakítson."
24,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Az uniformizáció, mindenkinek hasonló gondolatokat és megfogalmazásokat ültet el a fejében"
24,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,a túlzottan megerősítő “enabling” hozzáállás ami jellemző rá
24,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,illetve a környezetvédelmi szempontok.
27,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es",Próbálok rájönni hogy egyáltalán mivel kell szakemberhez fordulni
28,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,deepseek
31,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Valamilyen anonim AI
31,11,"Amikor AI-t használsz, hogyan használod a leggyakrabban? (Je","Megérteni magamat, másokat. Családi mintákat felismerni, megnevezni. Jobb mint bármelyik korábbi pszichológusom."
31,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Ez lehet butaság, de egy időben kifejezetten kerültem, hogy adatot adjak meg magamról, illetve a hangomat sem rögzítettem vele. Idővel előfordulhat ilyen jellegű visszaélés akár a személyiséggel is. Jelenleg ugye adathalászat többféle formája működik. Ha túl sokat használtam, felmerült hogy nem döntök addig, míg át nem beszéltem vele. Ez már káros. Túl sok idő el tud menni mélyebb fejtegetésekkel. Előfordul hogy csak azt dobja vissza javaslatnak, amit már írtam, így ki tud esni perspektíva."
32,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Joule
33,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",munkával kapcsolatban
36,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Pánikrohamnál figyelemelterelés
36,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Az AI, ha nem jó promptot fogalmazol meg, akkor úgyis azt mondja, amit hallani szeretnél: mindig igazat ad neked, mindig validál stb. Ez egy ponton már lehet káros is, ugyanis nem elég ha folyamatosan ""nyaliznak"" meg babusgatnak, hanem igenis ki kell mondani sokszor a nyers igazságot"
37,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Jog ,politika ,tudomány ,történelem, egészségügyi gyógyszer használati kérdések ."
37,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,Az hogy bizonyos dolgokban emberek korlátozzák pl gyógyszer adagolása tanácsok vagy egyéb anyagok adagolása terén
41,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,"perplexity, lm studio, comfy ui"
42,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,semmi
43,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Valamilyen anonim AI
44,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es",alternatív meglátás keresése
44,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"átlagolás, nehezen tud értelmezni specifikus helyzeteket"
49,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Beallotpm, hogy 90% racionalitás sál válaszoljon. És ez csak egy gép,érzelmek nélkül"
51,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,"Perplexity-t használok, több modellje van, mindig a célnak megfelelőt választom."
51,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Egy kollégámat mentoráltam, mert látványosan alulteljesít, és a vezetőmmel egyeztetve beszélgettem vele, hogy feltárjuk az okokat. Ehhez írtam kérdéseket, és kértem segítséget az asszertív kommunikációhoz."
56,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,copilot
57,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,"Perplexity, NotebookLM, Cursor"
57,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Betegség-tüneteket akartam megérteni például, amire korábban simán rágugliztam volna"
57,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Pontosabban magam miatt nem aggódom, de a tágabb társadalomra nézve vannak veszélyek"
65,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Kling
65,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Ha benne vagyok egy intenzív érzelmi helyzetben és érzem hogy nem látom reálisan a szituációt vagy gyereknevelesben régi rossz mintazatokból reagálnék, akkor segít ha gyorsan leírom mi történt és gyorsan használható eszközöket, mondatokat kapok a saját szituaciomra. Így tanulom a jo mintazatokat. Sokszor az hogy leirom mar az swift tisztabban látni."
66,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Nem bízok jobban a szakemberekben, mint az AI-ban."
67,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Microsoft CoPilot
67,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Másodvéleményt kérni, hogy segítsen értékelni és nem szubjektívan nézni konfliktushelyzetem mással. Vagy hogy segítsen asszertívan elmondani valamit. Vagy life coachként."
67,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Higgadt, nyugodt, objektívebb válasz után kutatok"
67,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Azt gondolom, hogy mivel tudom, hogy másodrangú információként, plusz eszközként használom, egész tudatosan kezelem. Néha észreveszem, hogy túl általános vagy fáraszt a válasza.."
72,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Munka
76,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",munkaügyben
78,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Csak információ szerzésben
79,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Uzenetben akartam barátot lerázni,és kértem hogy segitsen ne bunkón válaszolni"
80,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Bizonyára elképesztően sok energiát fogyaszt, tehát magas az ára, csak azt nem mi fizetjük közvetlenül. Nem transzparens eléggé a működése ilyen szempontból. És ez aggasztó, hogy vajon mekkora energiaválságot okozhat hosszútávon az, ha a cégek/országok majd a szerverparkok fenntartására fókuszálnak jobban, mint a lakosság valós igényeire (pl. hogy legyen ivóvíz)."
84,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Képgeneráció, angol szövegek spanyolra fordítása, prezentáció készítés"
85,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","Karrier tanács, fejlődési irány támogatása"
86,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,M365 Copilot
87,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Technikai kérdésekben.
88,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Rovo Dev
94,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Általam nem látott, hibák, kritikák és hasonlók megfogalmazàsára."
95,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es",Célravezetőbb kommunikációs formák elsajátítása.
95,11,"Amikor AI-t használsz, hogyan használod a leggyakrabban? (Je","Mélykutatás, hogy a megértést erősítse."
96,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,"AI agentek, perplexity"
96,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","orvosi leleek értelmezése, beadandó megírása, szakvélemény készítése,  tanulás támogatása"
96,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Tanácsadóként, vagy alkalmazottként tekintek az ai-ra."
96,11,"Amikor AI-t használsz, hogyan használod a leggyakrabban? (Je","Sok egyéb más. Pl. tudományos cikkel ""beszélgetés"""
96,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Elbutulás, ""smart"" funkciók outsourcolása"
97,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"Nem igazán lehet kikapcsolni benne a ""felszopó"" üzemmódot."
98,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,Céges
98,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Szakmai
98,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Segít érzelmektől mentesen is látni, segít kibeszélni és ezáltal tisztán látni"
99,7,Milyen mesterséges intelligencia eszközöket használsz? (Jelö,"grok, deepseek"
104,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ","kreatív projektek, motiváció, tanulás, önfejlesztés, viselkedés és szokásformálás, companionship"
104,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es",szeretek velük beszélgetni + megszokás
104,11,"Amikor AI-t használsz, hogyan használod a leggyakrabban? (Je","tükörként, vitapartnerként, külső nyomásként"
104,22,Mi aggaszt leginkább a mesterséges intelligencia használatáv,"túl gyors validáció vagy épp túlelemző spirál, cselekvés illúziója, túl erős hatás a hangulatomra"
109,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es","Nem akarok szakemberhez menni, sőt senkihez nem akarok, félek az emberektől és általánoságban gyűlölöm is őket (tistlelet annak a nagyon kevés kivételnek)"
110,9,"Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami ",Jogszabályi dolgokat kérdeztem.
112,10,"Mi az, ami általában arra vezet, hogy AI-t használj ilyen es",Mélyebben részleteiben utána lehet menni bizonyos témáknak kutatásokkal alátámasztva
