"Időbélyeg","Kijelentem, hogy elmúltam 18 éves, a fenti tájékoztatót elolvastam, és hozzájárulok, hogy válaszaimat kutatáshoz felhasználják.","Milyen nemű vagy?","Hány éves vagy?","Jelenleg olyan munkakörben dolgozol, amely pszichológiai támogatást, mentálhigiénés ellátást vagy tanácsadást foglal magában? (pl. terapeuta, pszichológus, coach, segítő vagy) - Opcionális","Mi jellemző rád az alábbiak közül?","Milyen gyakran használsz mesterséges intelligenciát? (ChatGPT, ...)","Milyen mesterséges intelligencia eszközöket használsz? (Jelölhetsz többet is)","Használtál-e már valaha AI-t pszichológiai témában, személyes dolgaid megbeszélésére, a saját működésed / szociális helyzetek megértésére, vagy akár ""terapeutaként""?","Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami szóba jöhet)","Mi az, ami általában arra vezet, hogy AI-t használj ilyen esetekben? (Válassz max hármat)","Amikor AI-t használsz, hogyan használod a leggyakrabban? (Jelöld mindet, ami megfelelő lehet)","Melyik írja le legjobban az AI használatával kapcsolatos élményed?","Mi alapján bízol egy AI által kapott válaszban? (Jelöld az összes megfelelőt)","Mikor nem bízol egy mesterséges intelligencia által adott válaszban, vagy hagyod figyelmen kívül azt? (Jelöld az összes szóba jöhetőt) ","Állítottál már fel személyes szabályokat vagy korlátokat a mesterséges intelligencia használatoddal kapcsolatban?","Mielőtt mesterséges intelligenciát önreflexióra használtál volna, mennyire érezted, hogy jól ismered magad, tudatos vagy?","Hogyan változott saját magad megértése az AI használatával? ","Kaptál már olyan visszajelzést AI-tól magaddal kapcsolatban, ami miatt megkérdőjelezted, újraértékelted azt, ahogy látod magad?","Amennyiben igen, hogy reagáltál erre? (Jelöld mindet, ami szóba jöhet) ","Általánosságban kijelentenéd-e, hogy az AI főleg: ","A tapasztalataid szerint az AI által kapott pszichológiai tanács ilyen:","Mi aggaszt leginkább a mesterséges intelligencia használatával kapcsolatban ebben a témában? (Opcionális, jelölj bármennyit)","Opcionális: van valami a mesterséges intelligenciával és az önreflexióval kapcsolatos tapasztalataidban, ami fontosnak tűnik, de nem került szóba? (Röviden / hosszan is kifejthető)","Opcionális: ha nyitott lennél folytatólagos részvételre a későbbiekben, itt megadhatod az email címed is."
"2026/01/26 9:55:10 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","nem gondoltam ilyenekre / nem tudom","A túlzott ráhagyatkozás;Félrevezető, fals információk;A gondolkodás készségének elvesztése","","imreta@gmail.com"
"2026/01/26 10:01:34 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/26 10:04:15 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","Perplexity","Nem","","","","","","","","","","","","","","","",""
"2026/01/26 11:10:38 de. CET","Igen, szeretnék részt venni a kutatásban","","18 - 24","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Nehéz beszélgetésekre felkészülni","Kíváncsiság;Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","Kényelmetlenül éreztem magam, de kíváncsivá tett","Megkérdőjelezte, újraértékelte azt","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása","",""
"2026/01/26 11:12:51 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT;Consensus","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;A privátszféra","",""
"2026/01/26 11:57:28 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;Claude","Igen","Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni;Nehéz levelek megírására","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha egyezik a saját gondolkodásmódommal;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Nem volt rá hatással / nem tudok erre válaszolni","Nem vagyok biztos benne / nem tudom","","Nem vagyok biztos ebben / nem tudom","gyengébb, mint a terápia","Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/26 12:12:52 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Igen","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Semleges másodvéleményként;Érzelmi megerősítésre","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Nem vagyok biztos ebben / nem tudom","bizonyos aspektusaiban hasonló, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/26 12:56:37 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Nem érint a téma / nem szeretném megosztani","Napi szinten","ChatGPT;Gemini","Igen","Döntések meghozásában;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Semleges másodvéleményként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Még sohasem gondoltam ilyesmire","3. Átlagos szinten értem a saját működésem","Valamennyire tisztult","Nem vagyok biztos benne / nem tudom","Elgondolkodtam rajta","Megerősítette az önmagadról alkotott képed, narratíváid","bizonyos aspektusaiban hasonló, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk","Azt érzem önmagában ahhoz hogy korrekt értelmezésekhez jussunk, az AI megkívánja az alapos megfogalmazását egy adott lelki helyzenek, ami baromira segít abban hogy hogyan tudjunk összeszedettebben önkifejezni, ez alapot képezhet annak hogy egy szakmebernek vagy csak a közvetlen hozzátartozóinknak a gondolatainkat és érzéseinket a lehető legeffektívebben és értehtőbben tudjuk átadni:) ",""
"2026/01/26 1:04:37 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT","Igen","Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Nincs időm / lehetőségem szakember segítségére","Tanulás pl matematika feladatnál ha megakadok","Főként a saját gondolkodásom tisztázására használom az AI-t","Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/26 2:04:53 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére","Kíváncsiság","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem","","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
