respondent_id,gender,age,is_professional,nd_status,ai_frequency,used_ai_psych,ai_experience,set_rules,prior_self_awareness,self_understanding_change,received_challenging_feedback,ai_vs_therapy,ai_general_effect,tool_chatgpt,tool_claude,tool_gemini,tool_copilot,tool_perplexity,tool_grok,tool_deepseek,prob_emotions,prob_decisions,prob_daily,prob_selfpatterns,prob_hardconvos,prob_hardletters,prob_learning_psych,driver_curiosity,driver_stuck,driver_structure,driver_noaccess,driver_speed,driver_intuition_plus_ai,use_feedback,use_brainstorm,use_secondopinion,use_problemsolve,use_guide,use_validation,trust_structured,trust_agrees_with_me,trust_newperspective,trust_multiple_options,trust_confident_tone,trust_generally_low,distrust_toogeneral,distrust_tooconfident,distrust_contradicts_me,distrust_oversimplifies,distrust_gut,distrust_rarely,react_reflected,react_integrated,react_uncomfortable_curious,react_ignored,react_situational,concern_overreliance,concern_misinformation,concern_emotional_dependency,concern_human_connection,concern_privacy,concern_cognitive_loss,concern_data_storage,concern_none
1,Férfi,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,nem gondoltam ilyenekre / nem tudom,Egyik sem igaz,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2,Nő,18 - 24,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
3,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Nem,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,18 - 24,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia","Megkérdőjelezte, újraértékelte azt",1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
5,Nő,18 - 24,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
6,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Nem volt rá hatással / nem tudok erre válaszolni,Nem vagyok biztos benne / nem tudom,"gyengébb, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,Nő,35 - 44,Igen,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"bizonyos aspektusaiban hasonló, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
8,Nő,18 - 24,Nem,Nem érint a téma / nem szeretném megosztani,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,3. Átlagos szinten értem a saját működésem,Valamennyire tisztult,Nem vagyok biztos benne / nem tudom,"bizonyos aspektusaiban hasonló, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
9,Nő,18 - 24,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,"Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
10,Nő,18 - 24,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
11,Nő,35 - 44,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Napi szinten,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Már sokkal jobban értem magam,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12,Nő,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,Nő,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Nem,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nő,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Ritkán,Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Nő,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,"Próbáltam már, de szinte soha",Nem,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Nő,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,4. Meglehetősen jól ismerem magam,Nem volt rá hatással / nem tudok erre válaszolni,Nem vagyok biztos benne / nem tudom,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Nem vagyok biztos ebben / nem tudom,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
17,Nő,25 - 34,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Ritkán,Nem,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Férfi,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Nem,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
