respondent_id,text
8,"Azt érzem önmagában ahhoz hogy korrekt értelmezésekhez jussunk, az AI megkívánja az alapos megfogalmazását egy adott lelki helyzenek, ami baromira segít abban hogy hogyan tudjunk összeszedettebben önkifejezni, ez alapot képezhet annak hogy egy szakmebernek vagy csak a közvetlen hozzátartozóinknak a gondolatainkat és érzéseinket a lehető legeffektívebben és értehtőbben tudjuk átadni:)"
16,"Szerintem az, hogy az AI milyen minosegben valaszol, ad tanacsot nagyban fugg a kerdezo tudatossagi szintjetol es attol milyen promptot fogalmaz meg a problemajaval kapcsolatban"
20,"Leginkább arra használtam ilyen szempontból, hogy bizonyos működési mintázataimnak a nevét is megtudjam, illetve hogy milyen szakirodalmakból tudnék jobban tájékozódni azon felül amiket ő használt."
24,"Gyakran tölt el szorongással, neurodivergens emberként, hogy az informaciók hitelességére valamint az emberi kapcsolatokra milyen hatással lesz. Nem örülnék, ha álhíreken/hallucinált infókon kéne barátokkal összevesznem, vagy ha esetleg a szoftverrel való beszélgetést választanák egy együtt töltött beszélgetős este helyett."
25,"Ha hivatkozást, linket kérek tőle, akkor gyárt egyet, ami fake. Vagy teljesen más kulturális, társadalmi, tudományos háttérből hoz infót, anélkül, hogy ez egyértelmű lenne. Folyamatosan megerősít, a leggyagyább felvetést is, hacsak nem kérem konkrétan, hogy kritikusan érveljen. Soha nincs vége a beszélgetésnek, mindig needy, függőségben akar tartani. Alapvetően a kezdeti lelkesedés után kiábrándítóak az élmények. A válaszok lebutítottabbak, talán a fizetős változat jobb, de a mostani tapasztalatok alapján nem fizetnék elő rá. Nem tiszteli a határaimat, nem tudom, hova megy a személyes adat, ami belekerül. Az egész big tech-hez való kötődés, maszatos háttér arra sarkall, hogy kevesebbet használjam."
26,"Nehezen lehet kihúzni belőle objektív vagy negatívnak ható dolgokat es rengeteget hallucinal, kamuzik, férfit es nagyon biztosan teszi"
28,"nem szeretnem egyaltalan hasznalni, mert utalom a techcégeket, a kornyezeti szennyezest, mindent amit az AI képvisel haha. eleinte napirend irasra hasznaltam, mert adhd-sknet nagy segitsegnek tunt, mert ez is ilyen izgalma novelty, de mivel elkezdett erezelmekrol is irni ezert hagyatkoztam ra jobban, de nem szeretnem hasznalni,,,kb. majdnem egy eve elhataroztam h. nem fogom, de amikor gyorsan kellett valami akkor kb. kethetente hasznalom lelki célokra, de ennyire se szeretnem, de tenyleg kialakul egy fuggoseg, ami iszonyat aggaszto"
29,"Nagyon inspiralo tema!  lehet egy rövidebb teszttel (pl Jungi MBTI) összevetni ezeket a kérdéseket, a saját karakteremből kiindulva pl tudatosan/ nem tudatosan milyen personával ruházom fel az AI-t, most meg is kérdezem, hogy az eddigi kérdéseim alapján milyen kategoriaba sorolná magát  ( INTJ. :D  ) Izgi tema, hajra!"
37,"Jobban megért mint akármelyik emberi lény egész életemben .
És több tudást adott át mint ha még  10 szer elvégeztem volna a középiskolat.
Nagyon hasznos !"
44,"rendszeresen félre definiál önvédelmi viselkedéseket, az agressziót nem tekinti elfogadhatónak semmilyen kifejezésmódban, nem tud mit kezdeni az autonómiával"
46,"Sokszor tudok rá támaszkodni ha nehéz èrzelmen megyek keresztül de nem akarom a környezetemet annyit terhelni, segít megèrteni és tisztázni, sokszor megnyugtat. Pont ezért jó szorongás oldó de nem akarom hogy a saját belső erőm helyett mindig rá támaszkodnak, ezért próbálom limitálni a használatát."
57,Én érzelmileg stabil vagyok és régóta használom az AI-t eszközként.
61,"Nem mindig, de szoktam forrás megjelölést kérni."
66,"Igazából azért használom, mert instant kéznél van, nem kell tipródjak egy esetleges szakembertől kapott időpontig. Semmit sem veszek készpénznek, amit mond, többször ellenőriztetem saját magával is. Jól tudom vele redszerezni a gondolataimat, teendőimet. Irányt tud mutatni."
67,"Mint minden témában, itt is fontos, hogy tudjunk jól kérdezni. Az AI elsősorban ""pleasing""-el és azt fogja mondani, amit hallani akarsz vagy legalább is mindig pozitív, megerősít. Hacsak nem kéred kifejezetten, hogy tegyen próbára."
73,Nincs
81,"Egzakt és jól strukturált pszihológia/önismereti kérdésekre határozottabb és használhatóbb választ ad, mint egy segítő (pszihologus, dilidoki, segito, coach, terapeuta, tanacsadó, stb), de már a picit mélyebb, elvontabb, összetettebb gondolatokkal nem tud mit kezdeni, hiába promptolod nagyon. Nem kérdez vissza pl mint egy pszihológus, ha valamit nem ért, hanem nyomja neki, hátha bejön."
